
Energy_Use_Intensity,Building_Activity,Work_Hours,Percent_Lit_Off_Hours,Number_Workers,Number_Desktops,Percent_Cooled,Main_Heat_Equip,Main_Cool_Equp,Floor_Ceiling_Height,Number_business
9.610446154,54,40,20,50,6,100,10,1,10,1
2.69045814,9,90,0,100,5,10,2,2,40,1
24.72420253,31,55,5,30,20,100,9,3,10,4
83.50467816,23,60,0,30,50,80,11,3,10,1
144.2066667,32,80,5,2,30,100,10,2,20,1
1.65104,10,40,50,5,10,50,9,1,12,1
22.97742353,37,168,20,40,20,30,27,4,9,1
22.82338462,28,45,20,45,30,75,4,4,9,1
4.790392405,9,40,0,15,2,100,11,2,15,5
40.9172,2,40,15,9,10,100,1,1,12,1
56.3984,2,40,5,10,4,55,10,1,25,1
241.1920095,8,168,60,315,265,75,27,16,10,10
30.44015,43,55,10,22,12,15,13,2,25,1
16.78496471,9,60,1,55,15,15,10,2,20,1
20.88082353,4,54,20,150,100,75,11,2,9,15
63.98310156,2,55,50,300,100,100,2,3,12,20
140.7605934,2,72,20,60,50,100,7,3,8,14
29.7013619,37,168,50,22,500,95,27,16,10,1
36.76601818,47,72,5,60,15,20,2,2,25,1
35.81014925,46,43,0,4,30,100,10,5,24,1
20.3195,48,55,5,3,9,10,31,5,16,1
20.1757,42,70,0,35,20,80,10,2,18,5
29.49082955,6,65,20,80,97,90,11,3,12,6
16.32505581,9,13,2,100,50,5,10,2,22,1
93.00621277,19,72,90,45,45,90,11,2,10,1
51.55186207,36,168,10,50,12,100,4,5,9,1
44.14833333,30,35,10,5,2,100,4,4,8,1
30.12592188,42,85,25,25,10,50,10,2,12,1
29.30742647,38,168,2,60,25,100,11,3,8,1
433.1790909,32,168,10,13,6,100,2,2,25,1
66.60619091,2,66,5,900,520,95,7,3,12,28
136.2610317,5,70,25,200,300,100,2,2,9,20
41.32413517,46,45,0,6,30,100,40,2,14,1
12.61452679,9,60,0,10,100,100,10,2,20,2
25.349,9,60,20,175,100,100,10,2,40,2
40.88449296,37,168,40,5,30,75,27,5,12,1
46.09429688,42,96,25,25,5,100,10,2,35,1
21.03277273,21,37,5,4,4,100,2,2,10,1
5.952083333,21,15,0,3,30,100,2,2,8,1
94.27722222,34,95,10,1,30,60,9,5,9,1
125.936875,37,168,50,0,4,100,1,1,9,1
100.64092,9,100,100,300,30,100,2,2,34,1
60.25766129,42,105,100,80,7,100,10,2,17,3
35.3648,2,56,0,2,1,100,17,2,8,1
29.89031111,21,52,5,8,4,100,10,2,9,1
34.28557971,28,40,10,20,50,100,11,3,10,1
73.18884286,42,102,30,80,30,100,2,2,20,1
9.463409073,9,112,3,185,8,5,10,2,35,1
39.49,22,40,10,5,6,100,11,16,30,1
6.77245283,10,3,0,0,30,60,10,6,9,1
130.2071853,35,168,80,3250,200,96,11,3,16,1
24.03181935,55,50,5,200,125,70,11,2,9,1
64.09030588,4,45,20,150,10,100,11,3,10,1
1.158568627,11,40,0,7,3,2,17,5,9,2
62.8516,2,40,10,2,3,100,1,1,8,1
33.0864,33,80,15,7,30,15,13,4,12,1
11.57904625,10,60,25,150,50,25,11,2,12,3
89.82138958,2,168,5,800,420,100,11,4,12,14
41.8746,38,168,10,10,2,90,5,5,10,1
58.43101375,6,55,40,2192,750,100,2,2,10,37
60.02305,42,126,2,150,75,85,10,2,17,4
158.2950231,35,168,65,110,30,100,22,3,8,1
42.1784325,51,74,20,400,110,75,7,2,16,996
25.84091379,55,45,80,80,40,5,17,2,8,1
164.0072973,33,84,0,21,5,93,12,2,12,1
31.87266667,24,60,10,12,30,10,5,5,15,1
74.27379529,35,168,30,2200,2000,95,11,3,10,1
43.65422222,27,60,20,16,16,98,10,2,8,1
34.19735714,40,168,10,25,11,75,3,2,9,1
35.44404545,24,84,25,30,30,100,27,16,18,1
0.772222222,1,0,10,0,30,100,10,2,9,0
42.5595122,2,45,5,11,30,50,9,1,9,1
9.90576087,10,60,0,20,12,20,10,2,15,3
13.03290566,2,168,60,8,8,100,2,2,15,1
45.35039773,2,65,30,450,450,100,11,3,9,23
136.6520139,25,96,20,50,17,85,11,3,25,1
75.27333333,7,40,2,1,30,100,2,2,8,1
13.95709259,29,40,20,85,619,50,42,5,12,1
10.21956757,2,70,5,75,75,100,5,2,10,9
48.3906,2,80,20,20,20,100,9,1,10,2
33.22884324,2,168,15,850,800,95,5,3,12,11
49.76061842,2,55,30,612,200,100,11,3,10,1
53.13559756,27,60,35,300,25,95,27,3,12,1
43.39777778,33,96,10,15,30,100,10,2,9,3
19.67417692,29,44,0,60,15,100,11,2,12,1
79.87473151,8,60,20,200,300,100,11,3,12,3
68.60661538,19,35,50,166,30,100,11,4,8,1
33.92805556,21,8,0,3,30,100,16,2,20,1
29.50078667,9,168,30,350,8,70,2,2,40,2
78.79277273,42,168,30,115,50,100,10,2,17,2
8.670428571,24,168,25,1,2,50,9,1,8,1
274.0548485,32,91,10,7,1,95,10,2,10,1
22.71842754,27,45,25,40,100,85,10,3,9,1
80.32746875,42,100,70,70,23,95,2,2,40,1
33.29153571,2,40,10,35,30,100,20,2,8,8
42.245,50,25,1,13,4,95,10,2,8,7
26.69056619,28,45,20,55,35,95,11,3,9,1
68.835944,6,168,10,615,400,100,2,2,9,5
35.81363636,47,40,25,1,30,100,13,2,16,1
969.0579333,49,168,25,1,30,90,10,7,30,1
31.54200781,54,60,5,117,20,100,11,3,9,1
18.45981818,28,50,2,30,91,100,2,2,14,1
55.840832,2,130,10,1200,100,30,7,2,10,1
16.21493976,2,45,5,9,1,100,9,1,8,1
138.3772222,12,112,5,2,1,100,9,1,8,1
24.06491803,21,8,0,4,30,98,11,3,30,1
6.294276923,9,40,5,45,8,9,10,2,24,1
37.939,2,168,50,20,11,100,9,1,15,1
94.28081333,50,75,54,141,70,92,2,2,12,22
8.993548387,5,40,20,4,7,100,2,2,9,2
13.68125,2,24,0,6,1,25,10,5,8,1
52.06862162,9,40,25,8,3,80,13,3,20,1
34.33763889,42,66,10,10,3,60,10,2,13,1
125.8752931,27,81,10,25,200,100,11,3,9,1
147.7539245,36,168,60,42,30,100,2,2,8,1
2.54,11,168,50,0,30,100,10,2,8,1
42.38697674,46,79,0,5,3,100,10,2,14,1
22.9264,28,55,10,20,10,100,10,2,9,2
65.95484615,50,75,25,8,6,100,10,2,11,3
7.804761905,47,45,0,1,30,100,5,2,12,1
104.9135775,4,40,5,30,25,100,2,2,10,1
127.9697309,2,45,20,325,1000,100,4,2,9,8
86.81898875,2,168,50,2500,2000,90,7,3,9,15
26.07711111,2,50,0,50,10,100,2,2,9,1
25.79459155,31,35,10,16,25,20,28,2,30,1
47.85262338,54,68,20,50,10,100,4,4,9,1
99.72045455,55,84,10,30,27,100,24,2,8,1
91.16492429,2,168,30,600,1000,100,11,3,14,4
165.8658333,15,40,0,3,1,80,2,2,12,2
14.61861864,28,100,10,100,57,75,11,5,10,1
17.94031429,11,84,20,2,2,40,10,2,20,1
29.71458824,49,24,10,5,10,25,27,5,10,3
161.9169667,14,168,10,100,25,100,2,2,9,4
7.46421875,46,75,10,2,30,100,9,2,22,1
12.58533333,4,45,5,3,2,100,4,1,8,1
20.00886813,9,50,1,22,10,5,2,2,22,1
84.10024747,42,168,50,115,75,1,10,2,17,1
16.75519608,28,55,3,50,30,100,10,2,10,1
65.29385581,36,168,60,350,350,90,11,3,8,3
125.1491714,36,168,60,30,25,100,2,2,10,1
40.16846154,28,80,10,15,15,50,3,1,10,1
108.5537412,35,168,10,350,250,100,11,3,8,1
55.9296913,6,68,15,400,515,100,5,2,10,23
10.12556098,10,43,3,4,7,100,11,2,12,3
9.832821429,2,60,25,140,2,100,5,5,10,1
34.1217,18,50,50,50,100,98,11,5,12,9
22.43649057,10,60,0,20,3,5,10,2,15,39
46.92941176,7,45,0,2,2,100,4,4,8,2
32.746875,6,45,10,8,6,60,9,1,14,3
42.91846154,2,40,20,15,10,100,2,2,10,2
153.5784211,12,80,10,3,1,100,10,2,10,1
52.95703158,22,47,25,75,65,100,10,3,20,1
50.09837551,6,168,10,247,100,75,11,2,10,40
46.71156923,23,168,15,75,100,75,11,3,9,1
16.62366,21,168,15,3,2,45,2,2,20,1
11.16286667,9,45,5,7,3,5,13,5,15,1
39.05992982,2,50,5,200,136,100,10,2,10,1
27.38524528,28,55,12,114,38,100,11,3,10,1
114.6314475,35,168,30,400,500,99,42,3,10,1
92.07390909,36,168,30,57,30,100,2,2,8,1
52.57767407,6,50,10,900,600,100,11,3,14,42
18.780255,9,60,10,75,50,100,10,2,27,4
7.0355,21,4,0,0,30,100,4,2,20,1
43.91948611,52,45,5,200,177,100,3,3,16,2
33.00249024,52,55,30,280,177,90,11,3,18,7
24.18743077,47,40,10,50,40,40,13,2,9,1
17.46275362,29,40,10,25,15,100,10,2,9,1
0.658514286,10,40,0,3,30,100,10,2,35,1
44.29206173,28,55,50,50,121,100,11,3,9,1
12.5778,10,40,10,2,30,100,10,2,16,1
39.40194565,29,126,45,130,30,85,11,3,11,1
77.52197959,28,50,0,45,30,100,11,3,10,1
76.52329268,25,56,2,2,1,100,7,2,12,1
29.81651613,42,56,10,3,1,100,2,2,12,2
21.52996324,52,50,20,100,125,80,11,16,9,1
18.81206061,9,168,10,50,30,30,10,2,40,1
51.0729854,28,53,0,12,6,100,11,2,10,1
68.88282558,35,168,10,1100,1100,100,27,3,8,1
106.4673103,2,45,0,50,50,100,2,2,30,1
17.46580392,47,45,5,11,5,75,10,2,25,2
44.468765,38,168,65,40,30,100,2,5,10,1
48.2737,22,40,10,5,3,70,10,3,10,1
113.2483333,12,74,25,3,30,100,4,4,10,1
26.703285,2,60,20,600,450,75,27,16,13,1
23.20946429,2,50,15,15,15,100,9,1,10,5
76.46897143,38,168,10,200,180,100,27,3,17,3
68.2859697,2,50,2,150,150,70,11,3,14,1
16.51330513,29,50,10,130,280,10,11,2,10,1
149.3387607,25,48,3,30,16,100,10,2,40,1
63.90692308,48,45,0,10,8,100,10,2,10,1
26.38948571,2,71,15,450,375,52,2,3,9,1
23.60509333,54,60,20,75,60,100,11,5,12,1
78.86162698,35,168,75,100,100,90,11,3,8,1
27.96328125,37,168,25,5,90,100,27,16,10,1
46.61801,19,40,50,50,50,100,27,16,10,1
54.63908372,4,60,5,582,1000,75,7,2,9,2
33.1806,21,34,1,25,15,100,9,1,40,1
65.56913333,38,168,100,2,30,90,3,2,8,1
3.791891892,21,16,15,12,6,75,10,2,15,1
16.26635417,29,60,10,100,300,100,11,3,8,1
40.84625333,29,122,5,80,100,100,10,2,10,2
31.60685385,54,40,15,60,20,95,10,2,12,1
28.88375357,55,40,10,220,200,100,11,3,8,1
17.65247458,28,80,5,90,80,5,22,2,12,1
1.654481481,9,45,0,10,2,25,5,2,30,1
29.83237143,38,168,5,40,20,100,10,3,8,2
383.625,32,140,20,10,1,100,2,2,10,1
3.7390625,24,36,0,4,30,95,10,2,9,1
35.93727273,46,55,0,2,30,100,18,2,14,1
180.6328571,12,85,5,2,3,100,2,2,12,1
14.08651286,38,168,80,400,100,80,4,3,8,10
431.1854691,4,168,10,900,1240,95,11,3,14,1
32.7996675,22,45,15,30,25,25,27,16,40,1
42.17104878,54,50,25,94,243,95,11,3,9,1
25.9731,9,80,5,20,20,30,10,3,20,3
46.74840854,29,55,20,250,1000,80,11,5,10,1
22.152068,38,168,10,60,12,100,10,2,10,1
96.5444,50,89,12,37,23,100,4,4,12,3
135.3536588,35,168,70,7500,3615,100,27,16,9,3
68.83823611,6,85,5,220,100,100,11,3,12,19
90.93448889,25,112,85,150,30,100,2,2,10,1
64.75237356,9,120,10,80,13,10,10,2,22,1
35.41908889,29,96,40,172,1000,100,11,3,10,1
76.13820267,2,168,30,7500,3615,85,11,3,14,40
21.46861333,27,120,25,100,100,95,28,16,25,1
13.73810345,18,86,15,6,6,66,9,1,7,1
27.11058933,38,168,20,140,18,100,5,3,9,1
48.25936111,9,40,2,275,200,25,13,2,36,1
63.76140196,42,103,30,40,24,100,10,2,24,1
151.0828571,33,65,90,6,6,100,2,2,8,2
34.00524235,3,72,30,1200,700,46,7,2,10,3
274.3208511,12,140,75,1,1,100,12,4,12,1
17.35721154,55,50,2,120,40,70,10,2,8,2
20.92272289,2,54,40,25,40,100,11,1,10,49
21.06095238,48,45,20,5,2,20,11,1,10,1
55.50916129,29,78,25,12,50,100,2,5,12,1
73.25060909,42,168,30,150,75,95,10,2,17,4
108.8683333,14,70,10,6,4,100,10,2,10,2
50.08218182,38,168,35,35,15,100,2,5,8,1
78.23381443,50,75,13,32,11,100,10,2,9,4
43.79931034,4,42,25,60,70,80,11,3,11,1
162.394375,34,84,5,5,30,100,2,2,8,1
32.02439506,2,65,10,200,225,100,2,2,12,8
9.88168254,10,50,2,36,10,5,2,2,35,1
32.62523438,9,168,10,75,7,10,13,2,45,2
68.87075,50,75,30,23,7,87,10,2,12,6
52.94865432,38,168,40,50,20,100,2,1,10,1
47.16,46,50,0,10,4,25,10,6,12,1
65.65083333,33,50,0,3,30,30,11,2,10,1
15.70047857,1,0,10,0,30,100,10,3,20,0
27.25280833,9,126,1,50,30,100,10,2,25,1
2.67646,9,60,25,10,6,10,10,1,32,2
42.4426,28,90,5,65,25,100,11,2,10,1
49.11643137,25,112,10,200,80,100,27,16,10,20
39.19946667,29,50,10,7,5,100,12,4,10,1
38.95120533,38,168,60,180,25,100,11,3,12,1
4.34195,10,0,10,1,30,100,11,2,8,1
33.5598,2,50,25,5,2,25,20,1,12,2
15.98434783,2,45,25,1,4,90,9,1,10,2
18.884244,9,50,0,20,30,2,2,2,12,6
2.80974359,10,40,0,1,30,100,10,2,20,1
21.56567105,28,80,20,50,50,25,11,2,9,1
29.87122222,22,96,20,8,12,100,28,16,40,2
52.29646774,2,55,10,300,400,100,2,2,9,2
243.7639394,32,98,15,9,6,100,2,2,12,1
82.88112264,36,168,25,75,25,98,4,4,10,3
59.6262963,28,40,0,3,4,100,16,2,9,1
8.794126984,10,48,0,10,2,10,13,5,23,1
92.82429688,25,14,25,25,18,90,7,3,10,1
100.7389091,20,168,50,100,80,20,11,4,24,9
29.58329286,2,168,20,1500,750,90,4,3,10,30
33.36824643,29,40,10,135,150,90,11,3,9,1
27.48628571,28,60,5,45,75,80,11,3,10,1
37.93513208,26,56,1,5,3,70,9,2,12,1
19.91292308,4,50,10,200,100,100,28,16,9,8
33.6165,2,60,0,11,30,80,10,2,8,1
61.9903375,38,168,10,25,6,75,11,2,10,1
15.2354,42,50,25,4,30,85,10,2,18,1
21.21658429,2,50,25,480,400,82,2,3,9,55
44.88177875,4,11,30,2500,3615,95,7,16,10,8
28.38217407,26,168,40,100,100,20,11,3,995,1
45.47552448,25,12,0,2,30,100,1,1,8,1
27.29781818,24,40,2,10,1,100,2,2,10,1
40.86992063,28,47,10,65,237,100,11,3,8,1
12.27486857,9,100,5,150,40,10,13,2,25,1
99.52046341,42,133,30,150,50,100,10,2,17,5
26.78445604,29,65,30,75,150,100,2,4,10,1
477.7092571,49,168,70,30,100,90,10,2,20,1
25.664975,2,15,50,45,75,100,10,2,14,12
32.30943396,48,40,10,10,9,60,1,2,50,1
102.2958763,35,168,25,1100,550,85,11,3,14,1
134.8711132,50,168,47,128,77,100,10,2,18,9
62.55981132,43,100,5,2,3,50,4,4,10,1
6.295822381,9,75,15,300,70,10,10,2,45,7
25.63012245,7,40,0,5,2,50,4,4,10,1
73.63388889,2,168,25,3000,2000,90,5,3,12,30
131.9099244,19,80,30,800,628,90,10,3,12,1
11.03889577,10,43,85,8,30,1,5,5,14,1
82.63777073,42,168,50,150,50,100,10,2,17,4
17.01999074,55,40,5,50,100,20,11,2,15,1
16.0725,47,50,10,4,30,50,5,5,12,1
38.46555797,2,168,30,200,200,100,7,2,12,12
22.82891667,2,40,25,15,12,100,9,2,12,1
98.44193111,35,168,90,1377,1000,100,42,8,9,1
28.22553797,1,0,10,0,30,100,27,2,12,0
21.80324074,29,96,25,200,250,95,11,4,15,1
67.24967925,35,168,13,400,400,100,11,3,14,8
106.6031579,12,80,10,3,2,20,17,5,12,2
38.41156522,27,80,10,10,50,90,27,3,12,1
50.13105455,7,92,10,150,30,100,2,2,12,2
248.5890909,32,91,20,7,2,100,2,2,10,1
6.855836735,28,35,0,8,8,80,9,1,11,1
104.1608472,22,76,35,150,180,85,2,2,9,1
13.086,7,45,13,7,8,100,9,1,10,1
9.186985075,54,60,20,60,30,20,11,5,10,1
43.63609524,27,60,5,30,30,100,27,3,12,1
62.86757333,50,55,31,43,23,100,10,2,18,8
60.34940111,35,168,65,700,150,100,27,16,20,3
61.65538537,38,168,90,75,16,100,7,3,10,1
16.7137575,36,168,60,60,35,100,10,2,8,4
16.105,8,43,5,7,30,10,2,5,14,1
20.19201818,2,44,15,105,10,95,4,4,8,2
31.22614773,36,168,30,50,40,95,2,3,12,1
28.34444706,38,168,20,40,20,80,11,3,10,1
48.01322619,4,44,7,70,58,97,10,2,10,8
104.6213412,18,60,10,5,14,75,1,1,12,1
47.37781096,2,70,20,740,700,98,7,2,10,7
59.7912807,6,60,10,200,600,70,11,3,13,17
25.7625,29,60,25,3,15,100,10,2,8,1
13.96828571,24,49,2,1,1,100,9,2,15,1
52.49723596,2,45,25,58,30,100,2,2,12,1
49.85847,4,84,50,4750,3615,100,27,5,8,33
58.3885,46,60,5,18,13,25,13,2,14,1
14.41637273,55,10,10,155,30,100,10,2,12,1
48.86042791,2,60,15,710,780,100,7,2,9,15
33.4751,49,40,10,15,30,100,10,2,42,1
26.19949425,27,112,20,50,100,90,27,16,12,1
43.0889726,38,168,50,12,7,100,5,2,12,1
11.44189474,29,65,10,70,100,100,9,2,11,1
3.372166667,11,168,0,1,30,100,5,2,18,1
67.8304,5,60,0,12,7,100,10,1,10,1
141.6491228,19,54,15,12,9,97,2,2,11,1
25.30402857,30,66,15,60,65,100,11,2,9,1
12.2158254,28,50,5,32,200,100,11,2,12,1
19.46093696,52,52,20,200,200,80,11,3,20,2
114.5706825,8,168,60,300,350,100,27,16,8,1
70.8725814,19,37,10,200,126,100,11,2,8,2
22.22926154,28,45,40,26,28,100,11,2,10,1
12.17048254,37,168,10,7,90,80,42,5,12,5
13.57967213,2,40,15,3,7,50,5,1,8,1
40.3037037,2,70,5,70,65,100,2,2,10,1
40.63283333,55,45,15,38,90,100,2,2,12,1
6.666380952,21,20,10,12,5,50,10,1,15,1
43.61120149,2,50,10,550,150,100,2,3,9,3
80.0045102,50,168,10,95,19,98,10,2,10,16
25.20566038,18,70,0,8,5,50,17,5,10,2
60.26471642,55,40,20,38,80,100,10,2,12,2
21.42122609,38,168,90,100,30,100,11,3,8,1
242.7698148,14,168,70,125,16,80,2,2,30,2
137.9682759,25,98,0,1,30,100,9,1,10,1
2.024,10,60,0,15,30,100,10,2,14,3
16.05550746,28,42,10,60,2,100,11,4,10,1
23.1805,47,85,25,2,30,1,10,5,18,1
12.15525,9,40,5,40,40,25,2,2,8,6
54.04992048,6,40,20,825,600,100,42,3,10,14
54.65314389,2,55,15,3000,100,80,28,3,10,1
147.4979787,33,84,15,15,6,90,11,3,18,1
38.79251163,29,50,50,200,400,100,11,3,12,1
58.02842105,27,60,0,100,250,100,27,16,9,1
32.83509091,2,60,20,24,15,100,10,2,8,8
75.85281053,42,156,25,70,30,80,2,2,24,1
38.43098969,2,50,25,500,300,95,2,2,13,2
36.75266667,10,20,5,1,30,100,18,2,20,1
52.04593651,54,35,20,110,70,100,17,3,8,1
10.9574,47,45,0,5,4,50,10,2,8,1
33.35481928,36,168,10,20,7,100,5,5,8,3
165.2881538,6,20,0,1,1,100,11,2,10,1
4.495133333,21,40,0,2,3,90,2,2,9,1
60.15181778,2,168,25,850,780,100,5,2,12,9
75.73616491,2,66,20,900,500,100,5,3,12,17
43.2051039,3,65,50,80,100,75,2,2,8,15
19.52684314,42,65,20,17,8,75,2,2,25,1
108.4670341,42,168,50,300,50,80,2,2,15,1
58.28503333,50,57,2,37,14,94,10,2,14,14
145.1496333,14,168,60,50,15,95,10,2,23,1
65.36714286,18,40,0,40,20,85,2,2,10,1
13.282,42,44,2,1,30,33,11,1,9,7
31.87764865,10,50,25,30,10,30,7,5,40,1
30.18401375,4,11,12,2500,1800,90,27,16,12,10
7.8858,48,45,0,3,30,100,10,2,12,1
13.83170909,9,55,10,20,5,15,10,2,40,1
33.15166667,30,49,0,3,1,100,11,2,12,1
66.4247619,43,50,5,2,2,20,1,2,15,1
13.53664085,9,40,5,213,100,40,10,2,16,7
57.843,35,168,80,125,200,100,10,2,9,1
14.45754246,7,35,0,2,1,100,1,2,15,1
35.32612048,31,50,0,13,3,100,9,1,8,1
97.76945714,4,168,30,600,600,100,11,3,10,1
11.55659,9,45,30,100,100,50,13,2,20,1
59.04182254,2,72,20,325,515,85,7,2,11,7
25.74377778,2,55,25,2500,2000,91,7,3,11,16
7.514741176,9,70,1,60,80,5,10,2,31,1
183.5373333,33,60,20,3,30,100,10,2,12,1
40.85873867,29,70,10,68,80,100,10,2,10,1
6.002,2,42,0,3,3,66,9,1,12,2
20.32136364,2,55,15,197,200,100,2,2,9,3
50.51366667,16,168,100,3,1,100,10,2,12,1
131.7126765,35,168,20,400,350,100,42,3,10,2
181.3486557,50,168,83,171,95,99,10,2,18,18
27.14722222,47,48,1,1,30,10,10,5,15,2
84.17420896,36,168,40,40,10,100,1,2,12,1
78.98133333,33,105,5,3,30,90,9,1,9,1
68.20073333,14,168,80,100,12,50,13,2,30,2
40.82469825,29,55,10,244,875,100,11,3,9,1
36.48901316,28,60,5,110,200,80,11,3,12,1
83.01692308,50,55,2,13,3,64,2,2,15,4
50.04462745,29,60,20,100,150,100,11,3,8,1
45.67475,26,168,60,600,95,75,10,2,10,46
5.288,24,25,10,20,3,100,9,6,23,1
12.40613846,47,40,5,13,14,60,9,1,12,8
71.95153846,33,56,0,4,1,100,10,2,10,1
45.5780625,42,90,8,10,12,85,2,2,12,1
98.55833333,33,84,5,3,30,50,10,1,13,1
82.52194118,18,96,50,130,50,100,11,2,12,6
52.74242784,37,168,60,40,200,90,11,3,10,2
50.46753,2,54,5,608,400,100,2,2,13,7
57.31865882,50,42,11,358,289,95,10,2,16,41
37.98184333,4,60,30,1200,3615,80,7,3,9,9
41.45354717,2,60,25,300,500,100,10,2,15,1
29.6624,24,86,10,2,3,93,10,2,14,1
5.7128,49,84,0,0,30,100,10,2,14,1
12.44890909,42,40,25,6,1,75,2,2,10,2
6.687715517,10,12,10,25,10,5,10,2,28,2
30.3325,24,10,10,1,30,100,11,2,30,1
56.61125,46,50,0,4,2,25,10,2,25,1
113.2738538,35,168,30,400,700,100,11,3,10,1
17.29166667,49,24,10,1,30,90,11,2,8,1
75.28944138,36,168,70,200,150,95,11,2,8,2
3.90434,9,168,60,7,1,5,4,2,32,1
125.8344237,19,59,10,400,150,96,11,3,8,4
146.9409362,35,168,12,70,40,100,2,2,8,1
29.4247,19,50,5,15,20,100,10,2,10,1
7.06,42,85,0,2,1,100,9,2,14,1
61.945875,27,70,25,2,29,100,10,2,10,1
