Electricity_Consumption,SQFT,Number_Workers,Building_Activity,Work_hours,Cooling_Days,Number_desktops,Wall_Construction_Material,Boiler,Own_Type,Climate_Zone
368188,26500,41,23,55,4335,4,1,2,1,5
211526,50000,45,14,45,2102,60,1,2,10,3
2553788,100001,73,17,168,796,9,1,1,5,3
174120,15000,1,5,168,3610,1,5,2,3,5
16747,20750,2,13,35,1206,30,1,1,10,2
4592604,220000,300,8,168,1197,400,6,1,9,3
2140272,360000,1500,2,40,668,2200,1,1,2,2
3601757,500001,400,14,80,1523,500,1,1,10,3
109463,11250,3,12,35,2207,30,5,2,4,4
396124,62000,56,5,50,1460,25,2,2,2,4
3747,300000,0,1,0,2143,30,4,2,3,4
3407094,260000,53,2,168,811,30,3,1,10,2
1529245,80000,12,2,168,3143,10,1,2,3,5
2644846,124000,500,2,120,2363,400,3,1,2,3
2787633,260000,40,5,168,698,15,2,2,2,2
836419,220000,244,14,50,1852,355,1,1,10,3
178355,50000,11,12,85,1097,15,1,2,4,2
2906317,230000,400,16,168,3720,300,3,1,5,7
92820,25000,6,26,56,2723,18,1,2,8,4
5186530,110000,50,6,168,940,4,2,2,2,2
258919,41000,50,25,60,4642,10,3,2,2,5
4867828,200001,150,25,168,2182,75,3,2,2,4
4316154,210000,150,25,168,2125,75,3,2,2,4
758472,63000,20,5,50,766,80,3,2,2,2
111706,8400,6,15,120,1574,30,1,2,3,3
646723,25000,29,23,75,3193,15,3,2,3,5
13851578,1800000,4500,2,68,1276,1500,7,2,2,7
41540,12000,2,26,40,2444,2,4,2,3,4
30842,15250,2,5,48,2268,3,5,2,3,4
313374,31000,60,8,50,689,15,1,2,2,2
275476,31000,14,5,40,1894,4,2,2,2,3
162915,12250,30,2,40,1777,22,1,2,2,4
695373,25000,0,1,0,1427,30,1,2,3,3
3433250,200001,435,2,65,3383,435,1,2,1,5
304468,8000,9,15,98,1866,1,1,2,2,3
25131,3300,1,26,30,1836,30,5,2,3,3
971288,100000,35,13,100,1119,12,3,2,2,3
211034,21000,11,23,48,2667,3,1,2,2,4
2407296,335000,162,14,112,1380,180,1,2,9,7
96852,8800,2,2,36,1320,2,1,2,4,2
49217,24000,3,13,25,1005,1,5,2,3,2
5729,1001,1,14,45,1402,1,4,2,9,2
348527,118000,40,5,60,1718,12,2,2,2,4
944304,42500,16,8,36,568,32,4,2,3,1
1156488,64000,25,17,168,2609,5,1,2,2,4
2899173,300000,200,2,60,316,200,2,2,2,3
27122,3000,0,1,0,1938,30,1,2,10,4
2467259,285000,200,14,80,1291,1200,1,1,10,3
350434,43000,60,2,40,1608,53,1,2,8,3
660963,85000,50,18,168,655,30,4,2,1,4
1621141,320000,300,14,78,1483,49,1,1,10,3
167111,45000,30,14,75,479,146,1,2,6,7
1717561,176000,60,17,168,832,40,1,1,4,2
695373,1200,0,5,168,1163,30,5,2,1,2
695373,3300,0,1,0,2836,30,5,2,3,4
183083,65000,50,14,40,1344,6,1,2,9,4
339067,430000,100,5,90,866,5,2,2,2,4
143113,19750,30,14,55,1625,20,1,2,2,3
2129222,87000,30,13,60,1746,50,3,1,10,3
50717,1200,2,15,80,958,30,1,1,3,2
12097,25000,5,5,40,580,10,3,2,3,1
1717246,255000,40,18,168,253,20,1,2,9,2
347836,52000,45,14,45,412,30,3,2,9,2
221829,158000,15,5,40,766,2,1,1,2,2
59961,5000,9,2,40,693,10,1,2,3,1
41324,2500,10,2,40,3831,4,4,2,3,5
22267140,315000,315,4,168,2286,265,1,2,8,4
356860,40000,22,25,55,2514,12,4,2,2,4
418148,85000,55,5,60,4166,15,2,2,2,5
624222,102000,150,2,54,743,100,3,1,8,2
2400304,128000,300,2,55,3488,100,2,2,2,5
1877083,45500,60,2,72,4409,50,3,2,2,5
1828044,210000,22,18,168,3092,500,1,2,9,4
592653,55000,60,26,72,3560,15,8,2,3,5
70319,6700,4,26,43,833,30,2,2,2,4
23821,4000,3,26,55,252,9,5,2,3,2
591316,100000,35,25,70,2178,20,3,2,3,4
1521215,176000,80,2,65,731,97,6,1,3,2
1028689,215000,100,5,13,1924,50,3,2,2,4
2562305,94000,45,8,72,907,45,1,1,3,1
876321,58000,50,17,168,1858,12,1,2,3,4
15527,1200,5,14,35,1518,2,5,2,8,3
565082,64000,25,25,85,1035,10,3,2,3,2
2920435,340000,60,18,168,1747,25,1,1,3,7
698266,5500,13,15,168,201,6,1,2,2,3
6441982,330000,900,2,66,506,520,6,2,3,2
5031914,126000,200,2,70,1752,300,1,2,2,3
60569,5001,6,26,45,1133,30,5,2,3,2
414076,112000,10,5,60,1550,100,3,2,1,3
1931635,260000,175,5,60,1114,100,3,2,2,2
1701523,142000,5,18,168,1561,30,1,2,6,3
864606,64000,25,25,96,570,5,3,2,2,2
135616,22000,4,12,37,2613,4,4,2,4,4
16747,9600,3,12,15,2170,30,1,2,4,4
49736,1800,1,15,95,226,30,4,2,3,3
118112,3200,0,18,168,1194,4,1,2,3,2
26546550,900000,300,5,100,3321,30,5,2,2,5
2189903,124000,80,25,105,1028,7,3,2,2,2
51824,5000,2,2,56,1356,1,4,1,5,3
98554,11250,8,12,52,3462,4,1,2,4,5
693348,69000,20,14,40,2475,50,1,1,10,4
1501530,70000,80,25,102,1981,30,3,2,2,4
1386786,500001,185,5,112,1569,8,2,2,1,3
694431,60000,5,13,40,2997,6,1,1,5,5
10520,5300,0,5,3,3491,30,3,2,1,5
64874623,1700000,3250,16,168,3314,200,1,1,5,7
2183430,310000,200,14,50,980,125,1,1,5,2
1596623,85000,150,2,45,2566,10,1,1,10,5
34635,102000,7,5,40,685,3,1,1,3,2
46052,2500,2,2,40,2686,3,1,2,2,4
48485,5000,7,15,80,232,30,1,2,2,1
2714899,800000,150,5,60,1709,50,1,1,3,3
12636069,480000,800,2,168,4131,420,1,1,1,5
368182,30000,10,18,168,1722,2,1,2,2,7
13700120,800000,2192,2,55,3465,750,1,2,1,4
3870185,220000,150,25,126,1501,75,3,2,2,5
6031170,130000,110,16,168,2011,30,1,1,5,7
9889433,800000,400,24,74,825,110,3,2,2,7
439265,58000,80,14,45,516,40,1,1,10,1
355702,7400,21,15,84,2169,5,3,2,2,4
14012,1500,12,13,60,1286,30,3,2,10,2
37006287,1700000,2200,16,168,3292,2000,1,1,97,7
143936,11250,16,14,60,696,16,1,1,6,7
841904,84000,25,18,168,332,11,8,1,2,4
685612,66000,30,13,84,1529,30,1,2,5,3
815,3600,0,1,0,1175,30,3,2,2,2
127853,10250,11,2,45,872,30,1,2,10,2
133548,46000,20,5,60,1579,12,2,2,2,4
50611,13250,8,2,168,1888,8,1,2,3,3
2339294,176000,450,2,65,684,450,1,1,1,2
5767260,144000,50,13,96,1344,17,1,1,10,2
26474,1200,1,2,40,1815,30,8,2,3,4
1104459,270000,85,14,40,1461,619,1,1,10,3
110822,37000,75,2,70,645,75,4,2,2,2
283649,20000,20,2,80,1283,20,1,2,3,2
3603362,370000,850,2,168,3999,800,6,2,1,5
2216768,152000,612,2,55,1717,200,1,1,2,4
1276999,82000,300,14,60,1672,25,1,2,9,7
34342,2700,15,15,96,1454,30,4,2,3,5
1499205,260000,60,14,44,3483,15,1,1,10,5
8544630,365000,200,4,60,2886,300,6,1,9,4
1568381,78000,166,8,35,934,30,1,1,2,2
35797,3600,3,12,8,718,30,4,2,4,1
2593856,300000,350,5,168,914,8,8,1,1,4
4064340,176000,115,25,168,794,50,3,2,2,2
17788,7000,1,13,168,610,2,4,2,5,2
265059,3300,7,15,91,816,1,1,2,3,1
918858,138000,40,14,45,577,100,1,1,9,7
3013457,128000,70,25,100,2450,23,1,2,2,4
273201,28000,35,2,40,1249,30,1,2,3,3
64383,5200,13,23,25,1263,4,2,2,3,2
391136,50001,55,14,45,397,35,1,1,10,2
5043665,250000,615,2,168,1159,400,8,2,3,3
57730,5500,1,26,40,589,30,5,2,2,1
4260220,15000,1,91,168,1221,30,2,2,2,3
1183288,128000,117,14,60,1127,20,1,1,10,3
148782,27500,30,14,50,2537,91,1,2,9,4
4091503,250000,1200,2,130,2434,100,5,2,2,5
19722,4150,9,2,45,632,1,4,2,10,1
73001,1800,2,6,112,1587,1,3,2,3,3
43023,6100,4,12,8,2522,30,1,1,4,4
239817,130000,45,5,40,977,8,3,2,3,4
111193,10000,20,2,168,1437,11,1,2,5,2
4144819,150000,141,23,75,2738,70,1,1,3,5
16342,6200,4,2,40,915,7,3,2,3,4
9623,2400,6,2,24,1574,1,5,2,3,2
5646363,370000,8,5,40,2150,3,1,2,3,4
72459,7200,10,25,66,545,3,3,2,3,1
2139732,58000,25,14,81,1485,200,1,1,9,7
2295123,53000,42,17,168,2136,30,1,2,2,4
1452,1950,0,5,168,632,30,5,2,2,1
26709,2150,5,26,79,1392,3,1,2,3,4
201580,30000,20,14,55,561,10,5,2,4,1
251293,13000,8,23,75,1254,6,1,2,3,3
2402,1050,1,26,45,1164,30,1,2,3,2
545784,17750,30,2,40,1644,25,1,2,10,3
10314090,275000,325,2,45,1535,1000,1,2,2,3
20356152,800000,2500,2,168,1303,2000,3,2,2,2
103177,13500,50,2,50,1281,10,1,2,3,4
268379,35500,16,14,35,1259,25,1,2,10,3
695373,8500,0,5,112,4557,30,1,2,2,5
1079910,77000,50,14,68,1404,10,1,2,10,3
257192,8800,30,14,84,1489,27,1,2,2,4
18703238,700000,600,2,168,1089,1000,1,1,2,3
116670,2400,3,6,40,2169,1,4,2,2,4
505568,118000,100,14,100,1276,57,1,1,10,2
736121,140000,2,5,84,2260,2,1,2,3,4
148050,17000,5,91,24,1402,10,1,2,6,3
5694618,120000,100,6,168,4464,25,1,2,2,5
14001,6400,2,26,75,831,30,3,2,3,2
5533,1500,3,2,45,1900,2,5,2,10,4
1067296,182000,22,5,50,2908,10,3,2,1,5
4880378,198000,115,25,168,3667,75,3,2,2,5
250444,51000,50,14,55,1986,30,1,2,9,4
4114355,215000,350,17,168,494,350,1,1,10,1
1283769,35000,30,17,168,1963,25,1,2,2,4
459135,39000,15,14,80,629,15,3,1,9,1
13521495,425000,350,16,168,628,250,1,1,5,7
3770173,230000,400,2,68,1258,515,8,2,2,2
30418,10250,4,5,43,736,7,1,1,3,2
564840,196000,140,2,60,2150,2,1,2,5,4
600030,60000,50,8,50,1472,100,1,1,2,3
174258,26500,20,5,60,4530,3,2,2,2,5
23382,1700,2,2,45,1601,2,1,2,3,4
76780,8000,8,2,45,1834,6,5,2,2,3
163523,13000,15,2,40,2233,10,1,2,3,4
85521,1900,3,6,80,2064,1,4,2,3,4
695373,9100,0,1,0,1386,30,1,2,3,2
4423433,285000,75,13,47,909,65,1,2,5,2
3597334,245000,247,2,168,1067,100,3,1,2,4
444937,32500,75,13,168,724,100,1,1,6,2
243606,50000,3,12,168,2096,2,1,2,5,4
49075,15000,7,5,45,1455,3,1,2,1,3
652525,57000,200,2,50,1002,136,1,2,2,2
850773,106000,114,14,55,802,38,3,1,10,2
13438622,400000,400,16,168,1708,500,1,1,4,7
1484193,55000,57,17,168,828,30,1,2,2,2
4160601,270000,900,2,50,1469,600,6,1,3,2
2201671,400000,75,5,60,1431,50,1,2,2,3
20620,10000,0,12,4,1682,30,8,2,4,3
926789,72000,200,7,45,548,177,2,1,97,7
3965715,410000,280,7,55,2346,177,2,1,97,7
460780,65000,50,26,40,605,40,3,1,10,1
706290,138000,25,14,40,697,15,5,1,9,2
40530,210000,3,5,40,2092,30,5,2,2,4
1051482,81000,50,14,55,3406,121,1,1,10,5
276476,75000,2,5,40,2966,30,5,2,3,4
5312103,460000,130,14,126,1518,30,1,1,10,3
1113299,49000,45,14,50,1835,30,1,1,2,4
183907,8200,2,13,56,934,1,3,1,5,2
270900,31000,3,25,56,1513,1,3,2,2,3
858170,136000,100,7,50,1327,125,3,1,97,7
2729182,495000,50,5,168,668,30,3,2,2,1
74858,5001,12,14,53,2184,6,1,1,6,3
8681013,430000,1100,16,168,1121,1100,1,2,5,7
678682,21750,50,2,45,1446,50,3,2,2,3
65266,12750,11,26,45,498,5,3,2,2,2
2606610,200000,40,18,168,3074,30,3,2,3,7
424446,30000,5,13,40,3605,3,3,2,10,5
79659,2400,3,6,74,1547,30,4,2,2,3
1565257,200000,600,2,60,1987,450,1,2,9,4
38093,5600,15,2,50,901,15,1,2,3,1
6275297,280000,200,18,168,1390,180,1,2,2,7
1320889,66000,150,2,50,1355,150,2,1,10,3
1887511,390000,130,14,50,539,280,1,1,10,1
12255232,280000,30,13,48,2039,16,3,2,10,4
97396,5200,10,26,45,1841,8,5,2,2,3
2165608,280000,450,2,71,1638,375,2,2,3,4
518869,75000,75,14,60,816,60,1,1,10,2
2912241,126000,100,16,168,507,100,1,1,5,7
524516,64000,5,18,168,1664,90,1,2,5,3
1366296,100000,50,8,40,48,50,1,2,4,3
6885934,430000,582,2,60,1524,1000,1,2,2,3
194494,20000,25,12,34,1912,15,1,2,4,3
288258,15000,2,18,168,1180,30,4,1,3,7
20560,18500,12,12,16,933,6,1,2,4,2
1144175,240000,100,14,60,744,300,1,1,9,2
1795703,150000,80,14,122,1630,100,1,1,10,3
1204247,130000,60,14,40,1812,20,1,1,10,3
2370296,280000,220,14,40,784,200,1,1,10,2
305245,59000,90,14,80,713,80,1,1,10,2
13092,27000,10,5,45,1454,2,3,2,2,4
1836107,210000,40,18,168,3720,20,3,2,2,7
562170,5000,10,15,140,3397,1,1,2,3,5
17534,16000,4,13,36,1379,30,3,2,3,4
23172,2200,2,26,55,3806,30,8,2,2,5
111175,2100,2,6,85,2009,3,1,2,3,3
8669894,2100000,400,18,168,1291,100,1,1,2,7
34752639,275000,900,2,168,968,1240,1,1,8,1
3845213,400000,30,13,45,1602,25,1,2,6,3
1013489,82000,94,14,50,995,243,1,1,10,3
532860,70000,20,5,80,4154,20,1,2,3,5
2246993,164000,250,14,55,1453,1000,1,1,10,3
1623100,250000,60,18,168,885,12,1,2,2,7
990344,35000,37,23,89,1844,23,5,2,3,4
67438810,1700000,7500,16,168,3574,3615,6,2,97,7
695373,415000,0,1,0,1588,30,8,2,1,3
1452624,72000,220,2,85,1613,100,1,1,2,3
4797247,180000,150,13,112,4236,30,1,2,2,5
3302143,174000,80,5,120,1720,13,5,2,3,3
4671334,450000,172,14,96,961,1000,1,1,10,2
33472246,1500000,7500,2,168,1525,3615,6,1,2,7
1415720,225000,100,14,120,1386,100,2,2,6,7
23353,5800,6,8,86,1270,6,4,2,2,3
2979622,375000,140,18,168,2954,18,1,1,1,7
2545922,180000,275,5,40,1960,200,2,2,3,4
1906115,102000,40,25,103,2138,24,1,2,2,3
108486,2450,6,15,65,3708,6,1,2,3,5
16942823,1700000,1200,2,72,3719,700,3,2,2,7
188937,2350,1,6,140,560,1,3,2,2,2
793589,156000,120,14,50,1212,40,1,2,5,2
508964,83000,25,2,54,1485,40,1,1,2,3
51850,8400,5,26,45,1629,2,1,1,1,3
504333,31000,12,14,78,2010,50,1,2,9,4
4723076,220000,150,25,168,1551,75,3,2,2,3
95722,3000,6,6,70,442,4,4,2,2,2
1614607,110000,35,18,168,869,15,3,1,2,7
1112057,48500,32,23,75,2492,11,1,2,2,4
558403,43500,60,2,42,609,70,1,1,10,2
76152,1600,5,15,84,1286,30,1,2,3,3
380125,40500,200,2,65,711,225,1,2,3,4
364916,126000,36,5,50,3523,10,2,2,1,5
1223924,128000,75,5,168,1911,7,3,2,10,4
242218,12000,23,23,75,2715,7,3,1,2,5
2513975,162000,50,18,168,873,20,3,2,3,7
17968,1300,10,26,50,1385,4,1,2,3,3
23089,1200,3,15,50,1592,30,3,1,3,2
644217,140000,0,1,0,4285,30,1,2,8,5
1916962,240000,50,5,126,1544,30,2,2,2,4
196106,250000,10,5,60,2061,6,1,2,2,4
1119529,90000,65,14,90,1189,25,1,1,10,2
3670777,255000,200,13,112,2532,80,1,2,9,4
86165,7500,7,14,50,2461,5,1,2,9,4
4280979,375000,180,18,168,1283,25,5,1,3,7
25451,20000,1,5,0,1330,30,1,1,4,3
49179,5000,5,2,50,963,2,3,2,2,2
10775,2300,1,2,45,911,4,4,1,1,2
1383664,250000,20,5,50,2495,30,1,2,3,4
6423,7800,1,5,40,1680,30,5,2,3,3
695373,11000,5,5,55,1589,30,1,2,3,3
960722,152000,50,14,80,465,50,1,1,4,1
1575856,180000,8,13,96,1240,12,2,2,9,2
1900575,124000,300,2,55,1562,400,2,2,1,3
235762,3300,9,15,98,3387,6,1,2,3,5
2574853,106000,75,17,168,1054,25,1,1,3,3
47184,2700,3,14,40,112,4,4,2,2,2
16238,6300,10,5,48,773,2,1,2,2,2
1741136,64000,25,13,14,3027,18,1,2,2,5
1948642,66000,100,11,168,936,80,3,1,2,2
6069257,700000,1500,2,168,1333,750,1,1,1,3
2738309,280000,135,14,40,2274,150,1,1,10,4
394733,49000,45,14,60,416,75,3,1,9,2
294631,26500,5,13,56,2298,3,1,2,3,3
531089,91000,200,2,50,1466,100,1,2,10,2
59115,6000,11,2,60,2336,30,1,2,2,3
1453466,80000,25,18,168,802,6,3,1,2,7
156283,35000,4,25,50,2214,30,3,2,3,4
4352758,700000,480,2,50,1822,400,1,2,2,3
10523278,800000,2500,2,11,2067,3615,1,2,9,3
2245952,270000,100,13,168,285,100,3,1,9,2
13341,1001,2,13,12,630,30,4,2,5,1
44003,5500,10,13,40,3060,1,1,2,3,5
754632,63000,65,14,47,1190,237,3,1,10,3
1259145,350000,150,5,100,1967,40,5,2,3,4
5979395,205000,150,25,133,3741,50,3,2,2,5
1428714,182000,75,14,65,1661,150,1,2,10,3
58803601,420000,30,91,168,1409,100,1,2,1,3
902637,120000,45,2,15,3207,75,1,2,2,4
250938,26500,10,26,40,889,9,1,1,2,2
23984965,800000,1100,16,168,2329,550,2,1,5,7
10475042,265000,128,23,168,1866,77,1,2,2,4
97177,5300,2,25,100,1829,3,3,2,3,4
3874920,2100000,300,5,75,1043,70,5,2,3,7
92019,12250,5,2,40,1194,2,5,2,3,2
19422773,900000,3000,2,168,940,2000,1,2,1,2
8698632,225000,800,8,80,1553,628,1,2,5,4
1148537,355000,8,5,43,2253,30,5,2,8,4
4965048,205000,150,25,168,3880,50,3,2,2,5
538734,108000,50,14,40,555,100,1,1,9,1
5653,1200,4,26,50,3629,30,4,2,3,5
1555758,138000,200,2,168,2072,200,7,2,2,4
160579,24000,15,2,40,641,12,1,2,2,1
12983256,450000,1377,16,168,1420,1000,1,1,5,7
1307044,158000,0,1,0,835,30,1,2,9,2
1725344,270000,200,14,96,478,250,3,1,10,1
5223085,265000,400,16,168,1451,400,1,1,1,7
59363,1900,3,6,80,1052,2,1,1,2,3
776787,69000,10,14,80,1707,50,1,2,5,7
1616183,110000,150,2,92,2705,30,2,2,1,4
120215,1650,7,15,91,2007,2,1,2,2,3
49229,24500,8,14,35,1666,8,1,2,10,4
4396003,144000,150,13,76,3124,180,1,2,5,5
26847,7000,7,2,45,1540,8,1,2,2,2
180401,67000,60,14,60,764,30,1,1,10,2
268569,21000,30,14,60,1234,30,1,2,5,7
690954,37500,43,23,55,4190,23,3,1,2,5
15918658,900000,700,16,168,1922,150,2,2,5,7
3704383,205000,75,18,168,1254,16,1,2,2,7
1959409,400000,60,17,168,956,35,1,1,3,3
401209,85000,7,4,43,2559,30,5,2,8,4
325487,55000,105,2,44,2102,10,1,2,4,4
1610727,176000,50,17,168,1744,40,1,1,5,3
2118357,255000,40,18,168,1080,20,1,1,2,7
1182037,84000,70,2,44,1800,58,1,1,10,3
1303167,42500,5,8,60,2381,14,4,2,3,4
5068259,365000,740,2,70,1783,700,2,2,1,3
4994289,285000,200,2,60,1008,600,2,1,1,3
27182,3600,3,14,60,4020,15,1,2,9,5
28657,7000,1,13,49,1022,1,3,2,3,2
684680,44500,58,2,45,1731,30,2,2,1,3
24841559,1700000,4750,2,84,2060,3615,1,2,8,7
136902,8000,18,26,60,2819,13,5,2,3,5
464772,110000,155,14,10,3146,30,3,2,9,5
3078837,215000,710,2,60,3756,780,2,2,1,5
196220,20000,15,91,40,3090,30,2,2,2,4
668041,87000,50,14,112,784,100,8,2,9,7
921892,73000,12,18,168,2151,7,1,1,2,7
254860,76000,70,14,65,945,100,1,2,4,3
5930,6000,1,5,168,533,30,4,2,3,1
49700,2500,12,2,60,3729,7,4,2,2,5
236635,5700,12,8,54,2180,9,1,2,3,4
1038266,140000,60,14,66,855,65,8,1,10,1
225556,63000,32,14,50,1290,200,1,1,9,2
2623690,460000,200,7,52,64,200,1,1,97,7
13431499,400000,300,4,168,896,350,1,2,5,3
1786355,86000,200,8,37,644,126,3,1,1,2
423477,65000,26,14,45,1351,28,3,1,10,2
1123594,315000,7,18,168,1528,90,1,1,2,3
12139,3050,3,2,40,2996,7,8,2,3,4
159467,13500,70,2,70,1223,65,1,2,2,3
643075,54000,38,14,45,1788,90,1,2,10,4
41030,21000,12,12,20,1540,5,1,2,4,2
1712749,134000,550,2,50,1121,150,1,2,2,3
2297902,98000,95,23,168,912,19,3,1,2,1
19576,2650,8,8,70,492,5,4,1,2,1
1183393,67000,38,14,40,1781,80,1,2,10,3
2165980,345000,100,18,168,1240,30,1,1,3,7
3842195,54000,125,6,168,523,16,3,2,2,1
117265,2900,1,13,98,1863,30,4,2,10,4
2373,4000,15,5,60,3300,30,1,2,3,5
315275,67000,60,14,42,891,2,1,1,9,2
67938,10000,2,26,85,3753,30,5,2,3,5
199500,56000,40,5,40,1698,40,2,2,2,4
6574067,415000,825,2,40,2049,600,2,1,2,4
28832256,1800000,3000,2,55,834,100,3,2,2,7
406354,9400,15,15,84,626,6,3,1,9,2
2444428,215000,200,14,50,1185,400,1,1,9,2
969408,57000,100,14,60,1490,250,3,2,9,7
105858,11000,24,2,60,1223,15,1,2,3,4
2111963,95000,70,25,156,2428,30,3,2,2,4
5462787,485000,500,2,50,802,300,1,2,2,2
32315,3000,1,5,20,3788,30,5,2,3,4
1921978,126000,110,14,35,1553,70,1,1,10,3
32114,10000,5,26,45,1848,4,5,2,3,4
811386,83000,20,17,168,2156,7,1,2,2,4
629761,13000,1,2,20,464,1,1,1,3,2
39523,30000,2,12,40,907,3,3,1,4,2
3966635,225000,850,2,168,3479,780,7,2,1,5
6326145,285000,900,2,66,891,500,6,2,2,1
975027,77000,80,2,65,1443,100,7,1,1,4
583745,102000,17,25,65,2129,8,3,2,2,4
5595017,176000,300,25,168,977,50,1,2,2,2
512471,30000,37,23,57,715,14,1,1,2,2
5104911,120000,50,6,168,775,15,3,2,2,2
134106,7000,40,8,40,1859,20,1,2,3,4
48659,12500,1,25,44,740,30,1,1,3,2
345684,37000,30,5,50,3368,10,5,2,1,5
7077143,800000,2500,2,11,2150,1800,6,2,9,4
11556,5000,3,26,45,2504,30,1,2,2,4
222961,55000,20,5,55,332,5,2,2,1,3
11659,1200,3,14,49,1878,1,1,1,4,4
40883,2100,2,25,50,3970,2,1,2,3,5
563365,142000,213,5,40,1039,100,5,2,2,3
2746356,162000,125,16,168,947,200,1,1,2,7
4242,1001,2,2,35,733,1,4,2,3,2
214835,20750,13,14,50,2440,3,1,2,4,4
6017464,210000,600,2,168,1666,600,6,1,10,3
677409,200000,100,5,45,597,100,1,2,3,2
6142980,355000,325,2,72,1866,515,6,2,3,3
13581125,1800000,2500,2,55,1203,2000,6,2,2,7
561623,255000,60,5,70,1299,80,1,2,3,3
80688,1500,3,15,60,2223,30,4,2,1,4
4490629,375000,68,14,70,1760,80,1,2,10,3
7916,4500,3,2,42,2033,3,1,2,2,3
655144,110000,197,2,55,2043,200,1,1,2,4
44414,3000,3,7,168,2376,1,4,2,9,4
5249978,136000,400,16,168,667,350,1,1,6,7
16210826,305000,171,23,168,1869,95,3,2,2,3
14322,1800,1,26,48,3648,30,5,2,3,5
1652893,67000,40,17,168,903,10,4,2,2,2
104166,4500,3,15,105,543,30,4,2,3,1
3597928,180000,100,6,168,10,12,3,1,2,1
3410035,285000,244,14,55,1418,875,1,1,10,3
1625536,152000,110,14,60,444,200,3,1,10,1
158151,6500,13,23,55,1045,3,1,2,3,2
1496059,102000,100,14,60,2238,150,1,1,10,4
10709203,800000,600,13,168,868,95,5,1,9,2
25185,16250,20,13,25,1578,3,1,2,2,3
945368,260000,13,26,40,987,14,3,2,10,2
27414,1300,4,15,56,5026,1,1,2,5,5
1068653,80000,10,25,90,1638,12,3,2,3,2
51994,1800,3,15,84,1792,30,3,2,2,4
1233476,51000,130,8,96,1558,50,1,1,2,2
2998837,194000,40,18,168,1002,200,2,1,9,3
4437356,300000,608,2,54,1047,400,8,2,1,3
4283780,255000,358,23,42,3216,289,1,2,3,5
6679105,600000,1200,2,60,2117,3615,2,2,2,3
1287830,106000,300,2,60,957,500,2,2,2,1
217339,25000,2,13,86,1564,3,3,2,2,3
16743,10000,0,91,84,907,30,5,2,10,2
20067,5500,6,25,40,2464,1,1,2,5,4
227367,116000,25,5,12,178,10,2,2,2,4
46228,5200,1,13,10,1393,30,1,1,4,3
26547,1600,4,26,50,650,2,1,2,3,4
8631654,260000,400,16,168,1748,700,1,1,5,7
30407,6000,1,91,24,1424,30,1,1,4,3
6399161,290000,200,17,168,812,150,1,1,5,2
514933,450000,7,5,168,2700,1,2,2,2,4
4351835,118000,400,8,59,866,150,1,1,2,2
1012049,23500,70,16,168,3029,40,1,2,5,7
86239,10000,15,8,50,2162,20,1,2,5,4
4863,2350,2,25,85,382,1,5,2,3,3
145242,8000,2,14,70,1584,29,1,2,5,7
1565312,340000,66,5,120,938,36,2,2,2,2
241381,60000,25,26,60,1600,6,2,2,3,4
3893650,205000,600,2,60,2124,600,6,2,2,4
19579,4000,1,26,25,1762,1,5,2,2,3
5690715,415000,180,16,168,919,200,1,1,97,7
18593,34000,1,5,20,4155,1,1,2,2,5
99654,33500,12,5,40,700,7,5,2,3,1
13198,2000,5,12,30,2216,30,1,2,4,5
